CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_ADDRESS1,CUSTOMER_ADDRESS2,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_COUNTRY,CUSTOMER_ZIPCODE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE
85,CONSOLIDATED EDISON COMPANY OF NEW YORK INC,750 EAST 16TH STREET,,NEW YORK,NY,UNITED STATES,10009,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
86,CONSTELLATION POWER, INC,900 CHELSEA RD,,PERRYMAN,MD,UNITED STATES,211130,ETL_CM_20130609102959,4/16/2012,ADMIN,4/16/2012
87,CONSUMERS ENERGY,ZEELAND GENERATING STATION,425 N FAIRVIEW RD ZEELAND 1,ZEELAND,MI,UNITED STATES,49464-9586,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
88,COOLKEERAGH ESB LTD,2 ELECTRA RD,,LONDONDERRY,CO LONDONDERRY,UNITED KINGDOM,BT47 6UL,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
89,COTTONWOOD ENERGY COMPANY, LP,976 COUNTY RD 4213,,DEWEYVILLE,TX,UNITED STATES,77614,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
90,COUNTY OF LOS ANGELES,6801 E 2ND ST,,LONG BEACH,CA,UNITED STATES,908034324,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
91,COYTOTE SPRINGS 2, LLC,101 INDUSTRIAL WAY,,BOARDMAN,OR,UNITED STATES,97818,TALEND_2017_03_05_09_50_46,4/16/2012,ADMIN,4/16/2012
92,CROCKETT COGENERATION, A CALIFORNIA LIMITED PARTNE,550 LORING AVE,,CROCKETT,CA,UNITED STATES,945251232,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
93,DEARBORN INDUSTRIAL GENERATION LLC,2400 MILLER RD,,DEARBORN,MI,UNITED STATES,48120-1465,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
94,DELAWARE CITY REFINING COMPANY LLC,4550 WRANGLE HILL ROAD,,DELAWARE CITY,DE,UNITED STATES,19706-7000,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
95,DELESTO BV,OOSTERHORN 4,,FARMSUM,GRONINGEN,NETHERLANDS,9936 HD,TALEND_2016_08_16_10_05_50,4/16/2012,ADMIN,4/16/2012
96,DENVER CITY ENERGY ASSOCIATES, LP,1937 COUNTY ROAD 390,,DENVER CITY,TX,UNITED STATES,793235805,ETL_CM_20130209232725,4/16/2012,ADMIN,4/16/2012
97,DEPARTMENT OF ELECTRICAL SERVICES, MINISTRY OF DEV,LATER NEW UNIT (270T714),TUTONG-MUARA HWY,KAMPONG BUKIT PANGGAL,,BRUNEI DARUSSALAM,,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
98,DESOTO COUNTY GENERATING CO, LLC,3800 NE ROAN ST,,ARCADIA,FL,UNITED STATES,342668893,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
99,DETROIT EDISON COMPANY, THE (INC),4505 KING RD,,SAINT CLAIR,MI,UNITED STATES,48079,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
100,DIRECT ENERGY LP,320 S GOODWIN RD,,MISSION,TX,UNITED STATES,785729413,TALEND_2015_06_17_02_16_19,4/16/2012,ADMIN,4/16/2012
